taskName,scenarioName,targetLabel,detectorName,detectorMode,scoreOrientation,conditionSnrDb,sourceSnrDb,windowLength,count,positiveCount,negativeCount,minScore,maxScore,meanScore,standardDeviation,aboveThresholdCount,auc
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,48,24,24,999.000000,1017.000000,1006.395833,3.333789,0,0.321181
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,128,48,24,24,1982.000000,1997.000000,1990.833333,3.460090,0,0.429688
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,,64,48,24,24,1000.000000,1018.000000,1007.062500,3.960252,0,0.247396
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,,128,48,24,24,1982.000000,2007.000000,1995.479167,5.228088,0,0.111111
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,,64,48,24,24,1001.000000,1018.000000,1008.312500,4.770378,0,0.032118
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,,128,48,24,24,1987.000000,2010.000000,1998.020833,6.520767,0,0.010417
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,,64,48,24,24,0.975586,0.993164,0.982808,0.003256,0,0.321181
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,,128,48,24,24,0.967773,0.975098,0.972087,0.001690,0,0.429688
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-3.000000,,64,48,24,24,0.976563,0.994141,0.983459,0.003867,0,0.247396
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-3.000000,,128,48,24,24,0.967773,0.979980,0.974355,0.002553,0,0.111111
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,0.000000,,64,48,24,24,0.977539,0.994141,0.984680,0.004659,0,0.032118
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,0.000000,,128,48,24,24,0.970215,0.981445,0.975596,0.003184,0,0.010417
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,64,48,24,24,128182.000000,138523.000000,132826.541667,2279.006508,48,0.604167
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,128,48,24,24,251054.000000,268425.000000,260507.500000,3801.796198,48,0.484375
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,64,48,24,24,128328.000000,139058.000000,133402.541667,2337.995553,48,0.456597
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,128,48,24,24,255232.000000,266999.000000,261737.375000,2967.163668,48,0.805556
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,64,48,24,24,127351.000000,138147.000000,133206.354167,2458.837034,48,0.657986
