taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc,sourcePointCount
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,,0.000000,0.000000,0,0,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,998.000000,0.013889,0.000000,1,0,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,999.000000,0.027778,0.013889,2,1,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1000.000000,0.069444,0.041667,5,3,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1001.000000,0.083333,0.055556,6,4,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1003.000000,0.250000,0.208333,18,15,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1004.000000,0.305556,0.277778,22,20,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1005.000000,0.402778,0.500000,29,36,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1006.000000,0.486111,0.611111,35,44,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1007.000000,0.638889,0.708333,46,51,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1008.000000,0.722222,0.847222,52,61,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1009.000000,0.777778,0.958333,56,69,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1011.000000,0.875000,0.986111,63,71,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1012.000000,0.902778,0.986111,65,71,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1013.000000,0.986111,0.986111,71,71,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1014.000000,0.986111,1.000000,71,72,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1015.000000,1.000000,1.000000,72,72,72,72,0.445313,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,,0.000000,0.000000,0,0,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1984.000000,0.041667,0.041667,3,3,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1986.000000,0.097222,0.166667,7,12,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1987.000000,0.125000,0.222222,9,16,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1988.000000,0.166667,0.263889,12,19,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1990.000000,0.319444,0.361111,23,26,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1991.000000,0.402778,0.513889,29,37,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1992.000000,0.472222,0.611111,34,44,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1993.000000,0.472222,0.666667,34,48,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1995.000000,0.694444,0.791667,50,57,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1996.000000,0.833333,0.847222,60,61,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1997.000000,0.861111,0.916667,62,66,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,1999.000000,0.944444,0.944444,68,68,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,2000.000000,0.972222,0.958333,70,69,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,2001.000000,0.986111,0.972222,71,70,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,2003.000000,1.000000,0.986111,72,71,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,128,2005.000000,1.000000,1.000000,72,72,72,72,0.422068,22
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,,0.000000,0.000000,0,0,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1000.000000,0.000000,0.013889,0,1,72,72,0.146701,23
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1002.000000,0.000000,0.138889,0,10,72,72,0.146701,23
