taskName,scenarioName,targetLabel,detectorName,detectorMode,scoreOrientation,conditionSnrDb,sourceSnrDb,windowLength,count,positiveCount,negativeCount,minScore,maxScore,meanScore,standardDeviation,aboveThresholdCount,auc
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,144,72,72,998.000000,1015.000000,1006.118056,3.342688,0,0.445313
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,128,144,72,72,1984.000000,2005.000000,1992.291667,4.518288,0,0.422068
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,,64,144,72,72,1000.000000,1024.000000,1008.611111,4.781491,0,0.146701
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,,128,144,72,72,1983.000000,2011.000000,1994.958333,5.308373,0,0.160783
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,,64,144,72,72,999.000000,1020.000000,1008.951389,4.972605,0,0.055459
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,,128,144,72,72,1982.000000,2014.000000,1997.298611,8.219286,0,0.011285
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,,64,144,72,72,0.974609,0.991211,0.982537,0.003264,0,0.445313
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,,128,144,72,72,0.968750,0.979004,0.972799,0.002206,0,0.422068
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-3.000000,,64,144,72,72,0.976563,1.000000,0.984972,0.004669,0,0.146701
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-3.000000,,128,144,72,72,0.968262,0.981934,0.974101,0.002592,0,0.160783
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,0.000000,,64,144,72,72,0.975586,0.996094,0.985304,0.004856,0,0.055459
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,0.000000,,128,144,72,72,0.967773,0.983398,0.975243,0.004013,0,0.011285
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,64,144,72,72,126904.000000,139037.000000,132610.750000,2318.766334,144,0.490258
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,128,144,72,72,253060.000000,273436.000000,261590.250000,3864.710393,144,0.486111
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,64,144,72,72,124540.000000,140300.000000,133084.152778,2426.244235,144,0.520255
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,128,144,72,72,253107.000000,271305.000000,261763.013889,3196.480350,144,0.488329
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,64,144,72,72,126158.000000,139020.000000,133097.319444,2464.689866,144,0.581019
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,128,144,72,72,254434.000000,274501.000000,262767.152778,3673.271072,144,0.691165
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,144,72,72,997.000000,1016.000000,1005.645833,3.315512,0,0.350694
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,128,144,72,72,1982.000000,2007.000000,1993.145833,4.794338,0,0.309124
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,,64,144,72,72,1001.000000,1018.000000,1008.090278,3.364259,0,0.276138
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,,128,144,72,72,1983.000000,2010.000000,1993.118056,5.461350,0,0.148823
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,,64,144,72,72,998.000000,1019.000000,1008.486111,4.336515,0,0.152874
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,,128,144,72,72,1983.000000,2014.000000,1996.590278,7.055744,0,0.017072
ofdm-signal-present-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,,64,144,72,72,0.973633,0.992188,0.982076,0.003238,0,0.350694
ofdm-signal-present-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,,128,144,72,72,0.967773,0.979980,0.973216,0.002341,0,0.309124
