trialIndex,taskName,scenarioName,targetLabel,classLabel,isPositiveClass,sourceType,detectorName,detectorMode,scoreOrientation,conditionSnrDb,sourceSnrDb,windowLength,windowCount,sampleCount,startIndex,score,isAboveThreshold,meanSample,peakSample
0,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1795,1010.000000,false,-0.080995,2.168271
1,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2882,1009.000000,false,-0.112214,2.126716
2,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2699,1002.000000,false,-0.064485,2.292909
3,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1665,1009.000000,false,0.174528,3.282711
4,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1623,1011.000000,false,0.173813,2.686675
5,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1168,1003.000000,false,0.175103,2.660607
6,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1842,1000.000000,false,-0.043291,2.168271
7,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3547,1005.000000,false,0.058607,2.710672
8,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,816,1008.000000,false,0.041908,2.626381
9,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2894,1013.000000,false,-0.108517,2.126716
