taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,,0.000000,0.000000,0,0,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,996.000000,0.000000,0.013889,0,1,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,997.000000,0.013889,0.013889,1,1,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,998.000000,0.041667,0.013889,3,1,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,999.000000,0.083333,0.013889,6,1,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1000.000000,0.097222,0.055556,7,4,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1001.000000,0.138889,0.125000,10,9,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1002.000000,0.194444,0.138889,14,10,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1003.000000,0.250000,0.263889,18,19,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1004.000000,0.333333,0.444444,24,32,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1005.000000,0.444444,0.597222,32,43,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1006.000000,0.597222,0.722222,43,52,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1007.000000,0.736111,0.777778,53,56,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1008.000000,0.805556,0.833333,58,60,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1009.000000,0.847222,0.888889,61,64,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1010.000000,0.902778,0.888889,65,64,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1011.000000,0.958333,0.930556,69,67,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1012.000000,0.972222,0.958333,70,69,72,72,0.451389
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,64,1013.000000,0.986111,1.000000,71,72,72,72,0.451389
