taskName,scenarioName,targetLabel,detectorName,detectorMode,scoreOrientation,conditionSnrDb,sourceSnrDb,windowLength,count,positiveCount,negativeCount,minScore,maxScore,meanScore,standardDeviation,aboveThresholdCount,auc
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,144,72,72,996.000000,1014.000000,1005.458333,3.505700,0,0.451389
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,128,144,72,72,1985.000000,2003.000000,1991.944444,3.831119,0,0.463638
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,,64,144,72,72,998.000000,1023.000000,1008.173611,4.103403,0,0.232542
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,,128,144,72,72,1983.000000,2009.000000,1995.576389,5.787414,0,0.033661
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,,64,144,72,72,996.000000,1020.000000,1008.506944,4.840507,0,0.126543
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,,128,144,72,72,1981.000000,2010.000000,1996.673611,6.336435,0,0.032407
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,64,144,72,72,124.608350,136.137313,131.814817,2.420047,134,0.446084
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,128,144,72,72,126.817773,135.657486,131.274896,1.744196,138,0.492284
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,64,144,72,72,125.819085,138.023904,131.577983,2.255588,136,0.465278
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,128,144,72,72,126.763527,135.503775,131.405354,1.499189,142,0.517940
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,64,144,72,72,125.582090,138.736220,131.998036,2.442089,139,0.582755
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,128,144,72,72,127.206879,136.286861,131.998022,1.469876,142,0.526813
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,,64,144,72,72,0.972656,0.990234,0.981893,0.003424,0,0.451389
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-9.000000,,128,144,72,72,0.969238,0.978027,0.972629,0.001871,0,0.463638
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-3.000000,,64,144,72,72,0.974609,0.999023,0.984545,0.004007,0,0.232542
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,-3.000000,,128,144,72,72,0.968262,0.980957,0.974403,0.002826,0,0.033661
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,0.000000,,64,144,72,72,0.972656,0.996094,0.984870,0.004727,0,0.126543
gaussian-emitter-vs-noise-only,,,lzmsa-normalized-compressed-length,compressed-byte-count-per-input-byte,LowerScoreMorePositive,0.000000,,128,144,72,72,0.967285,0.981445,0.974938,0.003094,0,0.032407
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,64,144,72,72,125356.000000,137372.000000,132535.194444,2523.624882,144,0.453800
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,128,144,72,72,252501.000000,270908.000000,261492.861111,3553.020573,144,0.489583
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,64,144,72,72,126574.000000,138879.000000,132654.083333,2371.891297,144,0.525752
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,128,144,72,72,253020.000000,269507.000000,262230.048611,3139.472035,144,0.624807
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,64,144,72,72,126210.000000,140956.000000,133123.194444,2661.279685,144,0.665509
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,128,144,72,72,254536.000000,271756.000000,263557.493056,3097.263485,144,0.643519
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,144,72,72,999.000000,1014.000000,1005.750000,2.729723,0,0.355806
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,128,144,72,72,1981.000000,2006.000000,1992.437500,5.038351,0,0.307870
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,,64,144,72,72,999.000000,1018.000000,1007.986111,3.989546,0,0.145640
