trialIndex,taskName,scenarioName,targetLabel,classLabel,isPositiveClass,sourceType,detectorName,detectorMode,scoreOrientation,conditionSnrDb,sourceSnrDb,windowLength,windowCount,sampleCount,startIndex,score,isAboveThreshold,meanSample,peakSample
0,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2096,1011.000000,false,-0.023263,3.236882
1,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1179,1005.000000,false,0.039119,2.388887
2,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3474,1003.000000,false,0.131680,2.557143
3,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1692,1005.000000,false,-0.013689,3.613385
4,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3277,1005.000000,false,0.022125,2.705436
5,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3013,1004.000000,false,0.080684,2.905550
6,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,851,1004.000000,false,-0.102752,2.269971
7,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1130,1004.000000,false,-0.007828,2.388887
8,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3439,998.000000,false,0.081482,2.557143
9,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2221,1006.000000,false,-0.103868,2.430793
10,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1565,999.000000,false,0.061656,2.566210
11,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2681,1004.000000,false,0.033738,2.988713
12,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1222,1005.000000,false,0.025080,3.047194
13,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2200,1007.000000,false,-0.119705,3.033405
14,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2053,1012.000000,false,-0.121538,3.236882
15,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1615,999.000000,false,-0.001643,2.370311
16,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3256,1006.000000,false,-0.003338,2.341107
17,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2246,1005.000000,false,-0.043182,3.859078
18,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,593,1007.000000,false,0.086318,2.382496
19,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3444,999.000000,false,0.134031,2.557143
20,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3860,1008.000000,false,-0.046396,2.661574
21,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1480,1006.000000,false,0.079980,2.566210
22,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3632,1001.000000,false,-0.114473,2.362408
23,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,638,1006.000000,false,0.086637,2.382496
24,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3869,1009.000000,false,-0.058345,2.661574
25,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1702,1005.000000,false,0.013038,3.613385
26,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,704,1004.000000,false,0.092891,2.335571
27,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3136,1006.000000,false,0.078065,2.724099
28,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1197,1001.000000,false,0.071641,2.388887
29,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3838,1010.000000,false,-0.051552,2.661574
30,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2634,1002.000000,false,0.122328,2.170824
31,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3726,1008.000000,false,-0.038608,3.641667
32,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2744,1011.000000,false,0.085489,2.988713
33,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1444,1006.000000,false,0.037021,2.103680
34,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1590,998.000000,false,0.017802,2.301790
35,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,138,1007.000000,false,0.069942,2.857107
36,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,653,1008.000000,false,0.090868,2.382496
37,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3386,1000.000000,false,0.064105,2.705436
38,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1493,1002.000000,false,0.076754,2.566210
39,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,319,1005.000000,false,0.032912,2.498290
40,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1287,1004.000000,false,0.143459,3.047194
41,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2356,1001.000000,false,-0.102106,3.859078
42,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1149,1002.000000,false,-0.013583,2.388887
43,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2836,1006.000000,false,-0.075392,2.414746
44,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2313,1005.000000,false,-0.060367,3.859078
45,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1093,1003.000000,false,0.005691,2.799666
46,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2015,1013.000000,false,0.024037,2.625967
47,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3948,1011.000000,false,-0.092031,2.232584
48,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3758,1009.000000,false,0.024775,3.641667
49,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,171,1006.000000,false,-0.018832,2.857107
50,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,868,1003.000000,false,-0.097494,2.269971
51,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,134,1008.000000,false,0.073014,2.857107
52,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,320,1003.000000,false,0.024406,2.498290
53,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1269,1007.000000,false,0.140848,3.047194
54,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1139,1002.000000,false,0.010384,2.388887
55,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,616,1010.000000,false,0.034847,2.382496
56,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1515,1006.000000,false,0.038250,2.566210
57,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2835,1007.000000,false,-0.057139,2.414746
58,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1792,1011.000000,false,0.042185,2.918767
59,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1574,997.000000,false,0.019500,2.301790
60,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,2309,1007.000000,false,-0.084810,3.859078
61,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1683,1007.000000,false,0.011911,3.613385
62,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3902,1007.000000,false,-0.137938,2.465973
63,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3569,1006.000000,false,-0.045013,2.021897
64,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3555,1006.000000,false,-0.044598,2.021897
65,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1807,1014.000000,false,0.112383,2.918767
66,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3906,1007.000000,false,-0.147351,2.465973
67,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3746,1007.000000,false,-0.023790,3.641667
68,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,609,1010.000000,false,0.044934,2.382496
69,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,1914,1010.000000,false,0.086521,2.682703
70,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,962,1008.000000,false,-0.005443,2.415864
71,gaussian-emitter-vs-noise-only,gaussian-emitter-control,signal-present,signal-present,true,gaussian-emitter,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,-9.000000,64,2,128,3839,1009.000000,false,-0.033435,2.661574
0,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,201,1012.000000,false,-0.045825,2.558455
1,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,2343,1007.000000,false,0.042418,2.244390
2,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,2279,1006.000000,false,-0.070955,2.944913
3,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,2540,1009.000000,false,-0.080986,2.875886
4,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,1100,996.000000,false,0.061029,2.545197
5,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,2512,1008.000000,false,-0.042965,2.875886
6,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,2629,1006.000000,false,0.066840,2.693301
7,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,3122,1004.000000,false,0.049186,1.849216
8,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,3930,1005.000000,false,-0.066117,1.941942
9,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,3684,1004.000000,false,-0.100076,2.369122
10,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,520,1003.000000,false,0.017577,2.579228
11,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,1811,1006.000000,false,-0.171662,2.508455
12,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,3951,1004.000000,false,-0.049539,2.150434
13,gaussian-emitter-vs-noise-only,noise-only-baseline,noise-only,noise-only,false,noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-9.000000,,64,2,128,296,1003.000000,false,-0.004527,2.864123
