taskName,scenarioName,targetLabel,detectorName,detectorMode,scoreOrientation,conditionSnrDb,sourceSnrDb,windowLength,count,positiveCount,negativeCount,minScore,maxScore,meanScore,standardDeviation,aboveThresholdCount,auc
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,,64,144,72,72,0.213505,0.268463,0.240481,0.012673,38,0.561150
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,,128,144,72,72,0.212531,0.264558,0.240923,0.010097,25,0.481578
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-3.000000,,64,144,72,72,0.209693,0.273360,0.238907,0.012498,24,0.390625
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-3.000000,,128,144,72,72,0.214893,0.265102,0.241868,0.009360,26,0.503858
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,0.000000,,64,144,72,72,0.201597,0.277612,0.239682,0.014075,32,0.486304
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,0.000000,,128,144,72,72,0.216976,0.267000,0.237992,0.009663,18,0.361979
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,-9.000000,,64,144,72,72,0.209163,0.283151,0.241891,0.013491,41,0.422164
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,-9.000000,,128,144,72,72,0.218310,0.266566,0.244710,0.009815,45,0.485436
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,-3.000000,,64,144,72,72,0.206349,0.281312,0.242189,0.012603,40,0.565490
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,-3.000000,,128,144,72,72,0.222055,0.267302,0.245257,0.009573,49,0.430556
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,0.000000,,64,144,72,72,0.213930,0.276447,0.242259,0.012442,42,0.570023
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,0.000000,,128,144,72,72,0.225515,0.273137,0.246270,0.009620,47,0.453125
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,-9.000000,,64,144,72,72,0.239325,0.303393,0.273949,0.013740,138,0.503279
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,-9.000000,,128,144,72,72,0.239415,0.296036,0.269133,0.009655,141,0.499325
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,-3.000000,,64,144,72,72,0.245527,0.310584,0.276153,0.014250,142,0.517843
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,-3.000000,,128,144,72,72,0.245473,0.297744,0.268058,0.009250,142,0.546007
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,0.000000,,64,144,72,72,0.224631,0.316468,0.272688,0.015211,135,0.399402
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,0.000000,,128,144,72,72,0.246610,0.295704,0.271533,0.010184,141,0.593750
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,,64,144,72,72,0.210837,0.281033,0.243678,0.013840,41,0.542631
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,,128,144,72,72,0.223783,0.275827,0.245234,0.010802,46,0.518519
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,,64,144,72,72,0.207921,0.280476,0.242750,0.012637,37,0.517072
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,,128,144,72,72,0.225677,0.268709,0.244817,0.009436,42,0.521991
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,,64,144,72,72,0.215628,0.279803,0.245370,0.012997,50,0.569927
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,,128,144,72,72,0.217260,0.270990,0.244205,0.009639,41,0.575424
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,-9.000000,,64,144,72,72,5271.448871,6037.774332,5626.058000,150.827686,144,0.512731
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,-9.000000,,128,144,72,72,5329.211780,5804.035434,5556.442542,118.010864,144,0.462770
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,-3.000000,,64,144,72,72,5300.859777,6007.152333,5619.306607,127.487682,144,0.402199
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,-3.000000,,128,144,72,72,5263.501930,5851.976386,5559.225097,110.677589,144,0.533565
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,0.000000,,64,144,72,72,5129.208400,6034.700150,5593.111643,167.042053,144,0.375000
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,0.000000,,128,144,72,72,5291.403962,5884.155976,5534.467485,104.347715,144,0.391975
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,64,144,72,72,126.072782,136.508424,131.590359,2.276449,135,0.462191
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,128,144,72,72,126.148185,135.911779,131.101848,1.684712,140,0.493441
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,64,144,72,72,126.200795,138.729703,132.086861,2.323669,138,0.597222
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,128,144,72,72,126.913698,135.272682,130.979697,1.559014,141,0.496142
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,64,144,72,72,123.607882,139.026946,131.600541,2.382461,138,0.471836
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,128,144,72,72,126.551621,136.309073,131.744479,1.804311,140,0.635224
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,64,144,72,72,126451.000000,137737.000000,132360.604167,2430.450136,144,0.508681
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,128,144,72,72,250278.000000,271247.000000,261078.097222,3591.183247,144,0.498650
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,64,144,72,72,126958.000000,140117.000000,133084.402778,2479.807414,144,0.649884
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,128,144,72,72,252752.000000,269869.000000,261221.041667,3285.443852,144,0.588927
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,64,144,72,72,125462.000000,139305.000000,132676.875000,2432.494253,144,0.585745
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,128,144,72,72,253688.000000,273436.000000,263198.375000,3958.356114,144,0.755015
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,64,144,72,72,121.074850,140.620896,130.922626,3.757044,115,0.578511
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,128,144,72,72,123.735650,137.986425,131.144073,2.685119,128,0.496528
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,64,144,72,72,121.005988,139.869436,131.784982,3.418359,127,0.587770
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,128,144,72,72,123.669656,137.825564,130.830661,2.696821,121,0.487269
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,64,144,72,72,118.047478,140.845697,131.546623,4.006834,115,0.465856
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,128,144,72,72,123.764618,137.271772,131.335379,2.796392,124,0.575810
gaussian-emitter-vs-noise-only,,,lzmsa-suffix-third-mean-compressed-byte-value,suffix-third-mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,64,144,72,72,122.847761,140.751497,131.787172,3.806539,122,0.409722
gaussian-emitter-vs-noise-only,,,lzmsa-suffix-third-mean-compressed-byte-value,suffix-third-mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,128,144,72,72,122.563253,137.019461,131.037542,2.912806,120,0.496142
gaussian-emitter-vs-noise-only,,,lzmsa-suffix-third-mean-compressed-byte-value,suffix-third-mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,64,144,72,72,120.211940,143.776786,132.352069,3.713165,129,0.624421
gaussian-emitter-vs-noise-only,,,lzmsa-suffix-third-mean-compressed-byte-value,suffix-third-mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,128,144,72,72,125.459337,139.344828,131.086017,2.859800,128,0.490548
gaussian-emitter-vs-noise-only,,,lzmsa-suffix-third-mean-compressed-byte-value,suffix-third-mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,64,144,72,72,119.337313,141.386228,131.418940,4.095786,116,0.520833
gaussian-emitter-vs-noise-only,,,lzmsa-suffix-third-mean-compressed-byte-value,suffix-third-mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,128,144,72,72,124.642534,139.354887,132.016369,2.949797,131,0.610340
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,,64,144,72,72,0.208167,0.267662,0.240478,0.012241,36,0.564236
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,,128,144,72,72,0.221776,0.264322,0.241770,0.008700,27,0.454186
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-3.000000,,64,144,72,72,0.213147,0.278656,0.241742,0.013221,36,0.583526
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-3.000000,,128,144,72,72,0.218656,0.269115,0.239537,0.008584,17,0.434799
ofdm-signal-present-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,0.000000,,64,144,72,72,0.197030,0.280632,0.242044,0.013877,41,0.476948
