taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc,sourcePointCount
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,,0.000000,0.000000,0,0,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.261692,0.041667,0.069444,6,10,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.256436,0.131944,0.097222,19,14,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.253227,0.208333,0.131944,30,19,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.250746,0.256944,0.215278,37,31,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.248751,0.333333,0.291667,48,42,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.245264,0.388889,0.368056,56,53,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.243056,0.458333,0.430556,66,62,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.240796,0.506944,0.493056,73,71,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.238000,0.590278,0.541667,85,78,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.235410,0.659722,0.611111,95,88,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.234064,0.729167,0.659722,105,95,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.231913,0.784722,0.736111,113,106,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.229167,0.840278,0.812500,121,117,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.225743,0.881944,0.895833,127,129,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.221336,0.930556,0.944444,134,136,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,64,0.213505,1.000000,1.000000,144,144,144,144,0.528236,223
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,128,,0.000000,0.000000,0,0,144,144,0.510176,241
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,128,0.255351,0.041667,0.062500,6,9,144,144,0.510176,241
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,128,0.251882,0.111111,0.104167,16,15,144,144,0.510176,241
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,128,0.249497,0.201389,0.152778,29,22,144,144,0.510176,241
