taskName,scenarioName,targetLabel,detectorName,detectorMode,scoreOrientation,conditionSnrDb,sourceSnrDb,windowLength,count,positiveCount,negativeCount,minScore,maxScore,meanScore,standardDeviation,aboveThresholdCount,auc
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,,64,288,144,144,0.198801,0.274257,0.240711,0.012267,68,0.480421
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-9.000000,,128,288,144,144,0.215108,0.262708,0.241000,0.009349,52,0.530985
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-3.000000,,64,288,144,144,0.201183,0.288119,0.239641,0.013141,57,0.553916
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,-3.000000,,128,288,144,144,0.219890,0.268170,0.240763,0.008857,46,0.513527
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,0.000000,,64,288,144,144,0.199408,0.270030,0.239065,0.012753,58,0.450569
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-0-63-proportion,compressed-byte-bucket-0-63-proportion,HigherScoreMorePositive,0.000000,,128,288,144,144,0.210973,0.267529,0.240031,0.009102,47,0.435692
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,-9.000000,,64,288,144,144,0.195804,0.275074,0.242606,0.011323,71,0.456115
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,-9.000000,,128,288,144,144,0.219488,0.264957,0.244284,0.008448,78,0.490861
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,-3.000000,,64,288,144,144,0.205589,0.279208,0.243335,0.013600,96,0.506149
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,-3.000000,,128,288,144,144,0.222889,0.271586,0.244520,0.009203,80,0.517650
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,0.000000,,64,288,144,144,0.199408,0.281873,0.242977,0.013599,90,0.498963
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-128-191-proportion,compressed-byte-bucket-128-191-proportion,HigherScoreMorePositive,0.000000,,128,288,144,144,0.217523,0.272954,0.244768,0.009117,80,0.522835
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,-9.000000,,64,288,144,144,0.230309,0.308226,0.273051,0.014254,269,0.494960
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,-9.000000,,128,288,144,144,0.238384,0.302057,0.271099,0.010070,286,0.502990
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,-3.000000,,64,288,144,144,0.223330,0.323383,0.273194,0.013893,276,0.418885
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,-3.000000,,128,288,144,144,0.234940,0.299347,0.270061,0.009969,281,0.463445
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,0.000000,,64,288,144,144,0.243028,0.314796,0.274073,0.012965,279,0.462842
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-192-255-proportion,compressed-byte-bucket-192-255-proportion,HigherScoreMorePositive,0.000000,,128,288,144,144,0.240778,0.296797,0.270443,0.009857,282,0.543210
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,,64,288,144,144,0.200000,0.273445,0.243631,0.012210,91,0.539931
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,,128,288,144,144,0.217807,0.273774,0.243617,0.009194,62,0.470414
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,,64,288,144,144,0.209533,0.275862,0.243831,0.013392,98,0.513648
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,,128,288,144,144,0.220271,0.271407,0.244656,0.009555,83,0.489415
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,,64,288,144,144,0.211730,0.279961,0.243886,0.013470,101,0.571181
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,,128,288,144,144,0.219720,0.274836,0.244758,0.009390,78,0.510802
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,-9.000000,,64,288,144,144,5229.223667,6016.819201,5617.650928,132.706775,288,0.507861
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,-9.000000,,128,288,144,144,5208.146153,5830.936177,5568.049104,102.098493,288,0.517409
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,-3.000000,,64,288,144,144,5216.530874,5997.741030,5600.830194,151.116317,288,0.497396
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,-3.000000,,128,288,144,144,5266.119669,5879.873728,5556.667710,111.257493,288,0.457803
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,0.000000,,64,288,144,144,5232.844670,6060.826479,5602.675114,151.481743,288,0.438850
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-variance,compressed-byte-variance,HigherScoreMorePositive,0.000000,,128,288,144,144,5201.089159,5835.102327,5554.455131,105.142176,288,0.413387
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,64,288,144,144,124.957129,137.915507,131.622859,2.159652,274,0.500675
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,128,288,144,144,126.121717,137.129388,131.307787,1.756937,278,0.494623
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,64,288,144,144,123.306931,138.748259,131.820832,2.427380,271,0.436728
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,128,288,144,144,126.937437,135.992481,131.262009,1.569691,283,0.486497
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,64,288,144,144,124.785361,138.466135,131.870519,2.236326,277,0.529900
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,128,288,144,144,126.533068,136.908229,131.384711,1.646608,284,0.583623
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,64,288,144,144,125332.000000,139037.000000,132375.711806,2257.464825,288,0.506197
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,128,288,144,144,249721.000000,273436.000000,261570.093750,3684.855877,288,0.509983
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,64,288,144,144,124540.000000,140300.000000,132932.604167,2595.750574,288,0.522352
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,128,288,144,144,253107.000000,271305.000000,261840.704861,3234.835762,288,0.560595
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,64,288,144,144,126158.000000,139384.000000,133082.159722,2416.020687,288,0.644218
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,128,288,144,144,253978.000000,274501.000000,262401.097222,3581.928740,288,0.719305
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,64,288,144,144,121.946269,141.059524,131.017094,3.914348,222,0.483049
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,128,288,144,144,124.282051,138.283133,131.134348,2.718638,252,0.472222
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,64,288,144,144,120.988060,143.210059,131.365684,3.860104,236,0.444517
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,128,288,144,144,123.945619,138.699248,131.326735,2.751194,253,0.504171
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,64,288,144,144,121.311377,142.928783,131.499746,3.986048,238,0.533275
gaussian-emitter-vs-noise-only,,,lzmsa-prefix-third-mean-compressed-byte-value,prefix-third-mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,128,288,144,144,121.497006,139.468563,130.829573,2.921987,243,0.513985
