groupingScope,perturbationId,alternativeDetectorName,featureFamily,closestNeighborCount,medianAbsoluteAucDeltaFromPaper,maxAbsoluteAucDeltaFromPaper,medianClosenessRank
overall,,lzmsa-mean-compressed-byte-value,whole-stream-mean,63,0.019146,0.138503,1.000000
overall,,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,26,0.035397,0.156057,2.000000
overall,,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,19,0.057775,0.341628,3.000000
per-perturbation,baseline,lzmsa-mean-compressed-byte-value,whole-stream-mean,14,0.069444,0.138503,2.000000
per-perturbation,baseline,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,11,0.066165,0.205343,2.000000
per-perturbation,baseline,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,11,0.075859,0.156057,2.000000
per-perturbation,float32,lzmsa-mean-compressed-byte-value,whole-stream-mean,20,0.020736,0.055556,1.000000
per-perturbation,float32,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,10,0.028743,0.126737,2.000000
per-perturbation,float32,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,6,0.055169,0.341628,3.000000
per-perturbation,scale-half,lzmsa-mean-compressed-byte-value,whole-stream-mean,29,0.009934,0.029514,1.000000
per-perturbation,scale-half,lzmsa-suffix-third-mean-compressed-byte-value,coarse-positional,5,0.034192,0.139564,2.000000
per-perturbation,scale-half,lzmsa-compressed-byte-bucket-64-127-proportion,coarse-histogram,2,0.050492,0.230806,3.000000
