taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc,sourcePointCount
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,,0.000000,0.000000,0,0,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.267662,0.069444,0.055556,5,4,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.259443,0.138889,0.111111,10,8,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.253968,0.236111,0.125000,17,9,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.251246,0.291667,0.194444,21,14,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.249503,0.361111,0.250000,26,18,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.247269,0.402778,0.333333,29,24,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.245527,0.486111,0.375000,35,27,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.244511,0.555556,0.458333,40,33,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.241758,0.583333,0.555556,42,40,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.239000,0.638889,0.625000,46,45,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.235586,0.680556,0.708333,49,51,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.233432,0.750000,0.777778,54,56,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.230159,0.819444,0.833333,59,60,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.226957,0.888889,0.888889,64,64,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.224551,0.930556,0.958333,67,69,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.210837,1.000000,1.000000,72,72,72,72,0.542631,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,,0.000000,0.000000,0,0,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.262525,0.027778,0.083333,2,6,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.257984,0.125000,0.138889,9,10,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.255767,0.180556,0.194444,13,14,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.253139,0.263889,0.236111,19,17,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.250755,0.319444,0.291667,23,21,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.248871,0.402778,0.361111,29,26,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.246982,0.458333,0.430556,33,31,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.244601,0.513889,0.486111,37,35,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.242986,0.583333,0.555556,42,40,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.241156,0.652778,0.625000,47,45,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.238956,0.694444,0.694444,50,50,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.237305,0.763889,0.736111,55,53,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.234555,0.819444,0.805556,59,58,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.231891,0.916667,0.847222,66,61,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.227204,0.958333,0.916667,69,66,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.223783,1.000000,1.000000,72,72,72,72,0.518519,133
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,,0.000000,0.000000,0,0,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.264095,0.069444,0.041667,5,3,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.259701,0.125000,0.097222,9,7,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.255699,0.180556,0.166667,13,12,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.251734,0.222222,0.250000,16,18,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.249008,0.347222,0.291667,25,21,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.245302,0.402778,0.347222,29,25,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.243297,0.444444,0.416667,32,30,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.242000,0.500000,0.500000,36,36,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.239801,0.569444,0.541667,41,39,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.237811,0.625000,0.611111,45,44,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.235877,0.694444,0.666667,50,48,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.234359,0.777778,0.722222,56,52,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.232604,0.847222,0.777778,61,56,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.229394,0.875000,0.875000,63,63,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.225743,0.916667,0.972222,66,70,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.207921,1.000000,1.000000,72,72,72,72,0.517072,130
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,,0.000000,0.000000,0,0,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.260913,0.055556,0.069444,4,5,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.256513,0.138889,0.125000,10,9,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.253253,0.222222,0.180556,16,13,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.251383,0.319444,0.208333,23,15,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.249249,0.388889,0.250000,28,18,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.246747,0.472222,0.291667,34,21,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.245596,0.486111,0.402778,35,29,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.243878,0.527778,0.486111,38,35,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.242211,0.569444,0.583333,41,42,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.241259,0.625000,0.638889,45,46,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.239740,0.694444,0.694444,50,50,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.237356,0.763889,0.763889,55,55,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.236153,0.805556,0.833333,58,60,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.233734,0.875000,0.888889,63,64,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.230692,0.916667,0.958333,66,69,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.225677,1.000000,1.000000,72,72,72,72,0.521991,139
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,64,,0.000000,0.000000,0,0,72,72,0.569927,131
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,64,0.268051,0.069444,0.041667,5,3,72,72,0.569927,131
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,64,0.262795,0.111111,0.111111,8,8,72,72,0.569927,131
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,64,0.256944,0.208333,0.125000,15,9,72,72,0.569927,131
