taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc,sourcePointCount
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,,0.000000,0.000000,0,0,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.275100,0.055556,0.041667,4,3,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.264766,0.111111,0.083333,8,6,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.261134,0.180556,0.152778,13,11,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.256513,0.194444,0.277778,14,20,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.252525,0.319444,0.347222,23,25,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.246988,0.375000,0.388889,27,28,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.245473,0.444444,0.458333,32,33,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.242363,0.513889,0.500000,37,36,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.238956,0.611111,0.555556,44,40,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.236735,0.680556,0.597222,49,43,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.233871,0.722222,0.666667,52,48,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.229376,0.736111,0.777778,53,56,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.225806,0.791667,0.875000,57,63,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.218876,0.861111,0.930556,62,67,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.212982,0.930556,0.972222,67,70,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,64,0.186235,1.000000,1.000000,72,72,72,72,0.483700,113
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,,0.000000,0.000000,0,0,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.261807,0.083333,0.041667,6,3,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.259298,0.138889,0.111111,10,8,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.256148,0.208333,0.138889,15,10,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.253361,0.263889,0.208333,19,15,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.250000,0.319444,0.291667,23,21,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.245902,0.388889,0.333333,28,24,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.243271,0.472222,0.388889,34,28,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.240989,0.555556,0.444444,40,32,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.240166,0.611111,0.500000,44,36,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.237998,0.652778,0.597222,47,43,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.235897,0.708333,0.694444,51,50,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.231959,0.750000,0.763889,54,55,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.227926,0.777778,0.875000,56,63,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.224049,0.861111,0.888889,62,64,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.217883,0.958333,0.916667,69,66,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,128,0.205155,1.000000,1.000000,72,72,72,72,0.534336,126
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,,0.000000,0.000000,0,0,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.276553,0.055556,0.041667,4,3,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.268687,0.097222,0.111111,7,8,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.263581,0.111111,0.208333,8,15,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.259109,0.180556,0.277778,13,20,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.256048,0.236111,0.347222,17,25,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.251004,0.319444,0.402778,23,29,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.247967,0.458333,0.458333,33,33,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.244444,0.500000,0.527778,36,38,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.239919,0.541667,0.597222,39,43,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.234343,0.625000,0.680556,45,49,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.231707,0.666667,0.736111,48,53,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.226453,0.750000,0.763889,54,55,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.221328,0.847222,0.805556,61,58,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.215447,0.916667,0.861111,66,62,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.207661,0.972222,0.930556,70,67,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,64,0.184584,1.000000,1.000000,72,72,72,72,0.474826,119
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,,0.000000,0.000000,0,0,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.261048,0.041667,0.069444,3,5,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.256966,0.097222,0.138889,7,10,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.252317,0.180556,0.180556,13,13,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.248967,0.222222,0.250000,16,18,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.246436,0.291667,0.305556,21,22,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.243299,0.388889,0.319444,28,23,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.240741,0.444444,0.388889,32,28,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.239466,0.472222,0.472222,34,34,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.238095,0.527778,0.527778,38,38,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.236326,0.597222,0.597222,43,43,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.233299,0.638889,0.680556,46,49,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.230690,0.736111,0.750000,53,54,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.228484,0.847222,0.805556,61,58,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.225773,0.916667,0.861111,66,62,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.220513,0.958333,0.930556,69,67,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,128,0.204522,1.000000,1.000000,72,72,72,72,0.508102,128
gaussian-emitter-vs-noise-only,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,64,,0.000000,0.000000,0,0,72,72,0.471740,114
