taskName,scenarioName,targetLabel,detectorName,detectorMode,scoreOrientation,conditionSnrDb,sourceSnrDb,windowLength,count,positiveCount,negativeCount,minScore,maxScore,meanScore,standardDeviation,aboveThresholdCount,auc
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,,64,144,72,72,0.214785,0.279441,0.242958,0.012412,42,0.502797
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-9.000000,,128,144,72,72,0.220151,0.267137,0.244994,0.009838,51,0.425058
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,,64,144,72,72,0.208748,0.285714,0.242479,0.013129,35,0.438272
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,-3.000000,,128,144,72,72,0.224121,0.271169,0.244249,0.008803,37,0.486786
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,,64,144,72,72,0.208791,0.286427,0.243259,0.013156,41,0.503665
gaussian-emitter-vs-noise-only,,,lzmsa-compressed-byte-bucket-64-127-proportion,compressed-byte-bucket-64-127-proportion,HigherScoreMorePositive,0.000000,,128,144,72,72,0.225352,0.263952,0.243711,0.009132,36,0.542728
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,64,144,72,72,124.997003,136.210109,131.287009,2.315964,131,0.439043
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,128,144,72,72,126.877335,135.131460,130.694947,1.589670,137,0.525463
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,64,144,72,72,126.134865,137.522388,131.459301,2.004680,138,0.492284
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,-3.000000,,128,144,72,72,126.371285,135.254902,131.001480,1.629085,139,0.491898
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,64,144,72,72,124.613000,137.430569,131.368156,2.405028,135,0.430556
gaussian-emitter-vs-noise-only,,,lzmsa-mean-compressed-byte-value,mean-compressed-byte-value,HigherScoreMorePositive,0.000000,,128,144,72,72,126.475591,134.817863,131.048489,1.581152,138,0.424961
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,64,144,72,72,125122.000000,137436.000000,131575.541667,2468.396054,144,0.441165
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-9.000000,,128,144,72,72,251344.000000,269317.000000,259323.500000,3210.070132,144,0.523148
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,64,144,72,72,126261.000000,138210.000000,131860.187500,2104.650033,144,0.502701
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,-3.000000,,128,144,72,72,250847.000000,269022.000000,260065.638889,3369.107790,144,0.482446
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,64,144,72,72,124613.000000,137703.000000,131715.333333,2515.142532,144,0.424961
gaussian-emitter-vs-noise-only,,,lzmsa-paper,paper-byte-sum,HigherScoreMorePositive,0.000000,,128,144,72,72,251307.000000,268692.000000,260302.875000,3218.775364,144,0.434028
gaussian-emitter-vs-noise-only,,,lzmsa-suffix-third-mean-compressed-byte-value,suffix-third-mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,64,144,72,72,120.159159,143.274627,131.209070,4.060543,117,0.511574
gaussian-emitter-vs-noise-only,,,lzmsa-suffix-third-mean-compressed-byte-value,suffix-third-mean-compressed-byte-value,HigherScoreMorePositive,-9.000000,,128,144,72,72,124.807576,138.399096,130.786721,2.857782,118,0.459780
