perturbationId,perturbationAxisTag,seed,taskName,conditionSnrDb,windowLength,aucLzmsaPaper,aucLzmsaMeanCompressedByteValue,aucLzmsaCompressedByteBucket64To127Proportion,aucLzmsaSuffixThirdMeanCompressedByteValue,absoluteDeltaFromPaperMeanCompressedByteValue,absoluteDeltaFromPaperCompressedByteBucket64To127Proportion,absoluteDeltaFromPaperSuffixThirdMeanCompressedByteValue
baseline,baseline,24680,gaussian-emitter-vs-noise-only,-9.000000,64,0.490258,0.478588,0.515721,0.570409,0.011670,0.025463,0.080151
baseline,baseline,24680,gaussian-emitter-vs-noise-only,-9.000000,128,0.486111,0.478781,0.501447,0.513696,0.007330,0.015336,0.027585
baseline,baseline,24680,gaussian-emitter-vs-noise-only,-3.000000,64,0.520255,0.411073,0.546489,0.549769,0.109182,0.026234,0.029514
baseline,baseline,24680,gaussian-emitter-vs-noise-only,-3.000000,128,0.488329,0.411844,0.486015,0.458333,0.076485,0.002314,0.029996
baseline,baseline,24680,gaussian-emitter-vs-noise-only,0.000000,64,0.581019,0.475694,0.566454,0.439236,0.105325,0.014565,0.141783
baseline,baseline,24680,gaussian-emitter-vs-noise-only,0.000000,128,0.691165,0.552662,0.510802,0.535108,0.138503,0.180363,0.156057
baseline,baseline,24680,ofdm-signal-present-vs-noise-only,-9.000000,64,0.475116,0.444252,0.538677,0.456983,0.030864,0.063561,0.018133
baseline,baseline,24680,ofdm-signal-present-vs-noise-only,-9.000000,128,0.614969,0.582562,0.490741,0.547068,0.032407,0.124228,0.067901
baseline,baseline,24680,ofdm-signal-present-vs-noise-only,-3.000000,64,0.613812,0.589892,0.580343,0.492477,0.023920,0.033469,0.121335
baseline,baseline,24680,ofdm-signal-present-vs-noise-only,-3.000000,128,0.640239,0.569637,0.512442,0.576968,0.070602,0.127797,0.063271
baseline,baseline,24680,ofdm-signal-present-vs-noise-only,0.000000,64,0.609761,0.541474,0.544367,0.545235,0.068287,0.065394,0.064526
baseline,baseline,24680,ofdm-signal-present-vs-noise-only,0.000000,128,0.707948,0.597415,0.523727,0.585455,0.110533,0.184221,0.122493
baseline,baseline,86420,gaussian-emitter-vs-noise-only,-9.000000,64,0.508681,0.462191,0.542631,0.409722,0.046490,0.033950,0.098959
baseline,baseline,86420,gaussian-emitter-vs-noise-only,-9.000000,128,0.498650,0.493441,0.518519,0.496142,0.005209,0.019869,0.002508
baseline,baseline,86420,gaussian-emitter-vs-noise-only,-3.000000,64,0.649884,0.597222,0.517072,0.624421,0.052662,0.132812,0.025463
baseline,baseline,86420,gaussian-emitter-vs-noise-only,-3.000000,128,0.588927,0.496142,0.521991,0.490548,0.092785,0.066936,0.098379
baseline,baseline,86420,gaussian-emitter-vs-noise-only,0.000000,64,0.585745,0.471836,0.569927,0.520833,0.113909,0.015818,0.064912
baseline,baseline,86420,gaussian-emitter-vs-noise-only,0.000000,128,0.755015,0.635224,0.575424,0.610340,0.119791,0.179591,0.144675
baseline,baseline,86420,ofdm-signal-present-vs-noise-only,-9.000000,64,0.440297,0.425926,0.470197,0.380015,0.014371,0.029900,0.060282
baseline,baseline,86420,ofdm-signal-present-vs-noise-only,-9.000000,128,0.547936,0.552469,0.480613,0.397859,0.004533,0.067323,0.150077
baseline,baseline,86420,ofdm-signal-present-vs-noise-only,-3.000000,64,0.508681,0.458526,0.496721,0.445602,0.050155,0.011960,0.063079
baseline,baseline,86420,ofdm-signal-present-vs-noise-only,-3.000000,128,0.575617,0.483025,0.598669,0.441744,0.092592,0.023052,0.133873
baseline,baseline,86420,ofdm-signal-present-vs-noise-only,0.000000,64,0.567901,0.490934,0.522473,0.491609,0.076967,0.045428,0.076292
baseline,baseline,86420,ofdm-signal-present-vs-noise-only,0.000000,128,0.663484,0.531057,0.519290,0.528356,0.132427,0.144194,0.135128
baseline,baseline,97531,gaussian-emitter-vs-noise-only,-9.000000,64,0.566358,0.548804,0.550444,0.552662,0.017554,0.015914,0.013696
baseline,baseline,97531,gaussian-emitter-vs-noise-only,-9.000000,128,0.504823,0.512924,0.461130,0.504244,0.008101,0.043693,0.000579
baseline,baseline,97531,gaussian-emitter-vs-noise-only,-3.000000,64,0.666184,0.595293,0.460841,0.586034,0.070891,0.205343,0.080150
baseline,baseline,97531,gaussian-emitter-vs-noise-only,-3.000000,128,0.697531,0.640046,0.504823,0.591435,0.057485,0.192708,0.106096
baseline,baseline,97531,gaussian-emitter-vs-noise-only,0.000000,64,0.674961,0.592978,0.576775,0.575039,0.081983,0.098186,0.099922
