taskFamilyId,seed,snrDb,windowLength,detectorId,auc
colored-nuisance-vs-white-noise,24680,-9,64,cav,0.554253
colored-nuisance-vs-white-noise,24680,-9,64,ed,0.706597
colored-nuisance-vs-white-noise,24680,-9,64,lzmsa-paper,0.468533
colored-nuisance-vs-white-noise,24680,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.433160
colored-nuisance-vs-white-noise,24680,-9,128,cav,0.681424
colored-nuisance-vs-white-noise,24680,-9,128,ed,0.855469
colored-nuisance-vs-white-noise,24680,-9,128,lzmsa-paper,0.523437
colored-nuisance-vs-white-noise,24680,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.586806
colored-nuisance-vs-white-noise,24680,-3,64,cav,0.960069
colored-nuisance-vs-white-noise,24680,-3,64,ed,0.990885
colored-nuisance-vs-white-noise,24680,-3,64,lzmsa-paper,0.455295
colored-nuisance-vs-white-noise,24680,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.423611
colored-nuisance-vs-white-noise,24680,-3,128,cav,0.991319
colored-nuisance-vs-white-noise,24680,-3,128,ed,0.988281
colored-nuisance-vs-white-noise,24680,-3,128,lzmsa-paper,0.576606
colored-nuisance-vs-white-noise,24680,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.556858
colored-nuisance-vs-white-noise,24680,0,64,cav,1.000000
colored-nuisance-vs-white-noise,24680,0,64,ed,1.000000
colored-nuisance-vs-white-noise,24680,0,64,lzmsa-paper,0.461806
colored-nuisance-vs-white-noise,24680,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.384549
colored-nuisance-vs-white-noise,24680,0,128,cav,1.000000
colored-nuisance-vs-white-noise,24680,0,128,ed,1.000000
colored-nuisance-vs-white-noise,24680,0,128,lzmsa-paper,0.508681
colored-nuisance-vs-white-noise,24680,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.428385
colored-nuisance-vs-white-noise,86420,-9,64,cav,0.645833
colored-nuisance-vs-white-noise,86420,-9,64,ed,0.898437
colored-nuisance-vs-white-noise,86420,-9,64,lzmsa-paper,0.532986
colored-nuisance-vs-white-noise,86420,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.559462
colored-nuisance-vs-white-noise,86420,-9,128,cav,0.642361
colored-nuisance-vs-white-noise,86420,-9,128,ed,0.711372
colored-nuisance-vs-white-noise,86420,-9,128,lzmsa-paper,0.533420
colored-nuisance-vs-white-noise,86420,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.473958
colored-nuisance-vs-white-noise,86420,-3,64,cav,0.959635
colored-nuisance-vs-white-noise,86420,-3,64,ed,0.998264
colored-nuisance-vs-white-noise,86420,-3,64,lzmsa-paper,0.589410
colored-nuisance-vs-white-noise,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.538194
colored-nuisance-vs-white-noise,86420,-3,128,cav,0.990451
colored-nuisance-vs-white-noise,86420,-3,128,ed,0.993924
colored-nuisance-vs-white-noise,86420,-3,128,lzmsa-paper,0.612413
colored-nuisance-vs-white-noise,86420,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.613715
colored-nuisance-vs-white-noise,86420,0,64,cav,1.000000
colored-nuisance-vs-white-noise,86420,0,64,ed,1.000000
colored-nuisance-vs-white-noise,86420,0,64,lzmsa-paper,0.693142
colored-nuisance-vs-white-noise,86420,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.391927
colored-nuisance-vs-white-noise,86420,0,128,cav,1.000000
colored-nuisance-vs-white-noise,86420,0,128,ed,1.000000
colored-nuisance-vs-white-noise,86420,0,128,lzmsa-paper,0.549479
colored-nuisance-vs-white-noise,86420,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.520399
colored-nuisance-vs-white-noise,97531,-9,64,cav,0.690538
colored-nuisance-vs-white-noise,97531,-9,64,ed,0.728733
colored-nuisance-vs-white-noise,97531,-9,64,lzmsa-paper,0.549696
colored-nuisance-vs-white-noise,97531,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.451389
colored-nuisance-vs-white-noise,97531,-9,128,cav,0.736545
colored-nuisance-vs-white-noise,97531,-9,128,ed,0.831163
colored-nuisance-vs-white-noise,97531,-9,128,lzmsa-paper,0.485677
colored-nuisance-vs-white-noise,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.504991
colored-nuisance-vs-white-noise,97531,-3,64,cav,0.900174
colored-nuisance-vs-white-noise,97531,-3,64,ed,0.969618
colored-nuisance-vs-white-noise,97531,-3,64,lzmsa-paper,0.617188
colored-nuisance-vs-white-noise,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.477865
colored-nuisance-vs-white-noise,97531,-3,128,cav,0.999132
colored-nuisance-vs-white-noise,97531,-3,128,ed,0.994792
colored-nuisance-vs-white-noise,97531,-3,128,lzmsa-paper,0.547743
colored-nuisance-vs-white-noise,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.490885
colored-nuisance-vs-white-noise,97531,0,64,cav,0.999132
colored-nuisance-vs-white-noise,97531,0,64,ed,0.999566
colored-nuisance-vs-white-noise,97531,0,64,lzmsa-paper,0.569444
colored-nuisance-vs-white-noise,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.422743
colored-nuisance-vs-white-noise,97531,0,128,cav,1.000000
colored-nuisance-vs-white-noise,97531,0,128,ed,1.000000
colored-nuisance-vs-white-noise,97531,0,128,lzmsa-paper,0.582465
colored-nuisance-vs-white-noise,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.381944
equal-energy-structured-vs-unstructured,24680,-9,64,cav,0.560764
equal-energy-structured-vs-unstructured,24680,-9,64,ed,0.365017
equal-energy-structured-vs-unstructured,24680,-9,64,lzmsa-paper,0.480252
equal-energy-structured-vs-unstructured,24680,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.474826
equal-energy-structured-vs-unstructured,24680,-9,128,cav,0.762153
equal-energy-structured-vs-unstructured,24680,-9,128,ed,0.575521
equal-energy-structured-vs-unstructured,24680,-9,128,lzmsa-paper,0.457248
equal-energy-structured-vs-unstructured,24680,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.489149
equal-energy-structured-vs-unstructured,24680,-3,64,cav,0.894531
equal-energy-structured-vs-unstructured,24680,-3,64,ed,0.304688
equal-energy-structured-vs-unstructured,24680,-3,64,lzmsa-paper,0.415799
equal-energy-structured-vs-unstructured,24680,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.559028
equal-energy-structured-vs-unstructured,24680,-3,128,cav,0.999132
equal-energy-structured-vs-unstructured,24680,-3,128,ed,0.476563
equal-energy-structured-vs-unstructured,24680,-3,128,lzmsa-paper,0.474392
equal-energy-structured-vs-unstructured,24680,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.440104
equal-energy-structured-vs-unstructured,24680,0,64,cav,0.991753
equal-energy-structured-vs-unstructured,24680,0,64,ed,0.552083
equal-energy-structured-vs-unstructured,24680,0,64,lzmsa-paper,0.569227
equal-energy-structured-vs-unstructured,24680,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.489583
equal-energy-structured-vs-unstructured,24680,0,128,cav,1.000000
equal-energy-structured-vs-unstructured,24680,0,128,ed,0.400608
equal-energy-structured-vs-unstructured,24680,0,128,lzmsa-paper,0.461806
equal-energy-structured-vs-unstructured,24680,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.542101
equal-energy-structured-vs-unstructured,86420,-9,64,cav,0.565538
equal-energy-structured-vs-unstructured,86420,-9,64,ed,0.462240
equal-energy-structured-vs-unstructured,86420,-9,64,lzmsa-paper,0.601997
equal-energy-structured-vs-unstructured,86420,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.596788
equal-energy-structured-vs-unstructured,86420,-9,128,cav,0.669705
equal-energy-structured-vs-unstructured,86420,-9,128,ed,0.270399
equal-energy-structured-vs-unstructured,86420,-9,128,lzmsa-paper,0.506727
equal-energy-structured-vs-unstructured,86420,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.579861
equal-energy-structured-vs-unstructured,86420,-3,64,cav,0.895399
equal-energy-structured-vs-unstructured,86420,-3,64,ed,0.586372
equal-energy-structured-vs-unstructured,86420,-3,64,lzmsa-paper,0.455729
equal-energy-structured-vs-unstructured,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.563368
equal-energy-structured-vs-unstructured,86420,-3,128,cav,0.994792
equal-energy-structured-vs-unstructured,86420,-3,128,ed,0.408854
equal-energy-structured-vs-unstructured,86420,-3,128,lzmsa-paper,0.469184
equal-energy-structured-vs-unstructured,86420,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.527778
equal-energy-structured-vs-unstructured,86420,0,64,cav,0.999566
equal-energy-structured-vs-unstructured,86420,0,64,ed,0.555122
equal-energy-structured-vs-unstructured,86420,0,64,lzmsa-paper,0.410590
equal-energy-structured-vs-unstructured,86420,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.512587
equal-energy-structured-vs-unstructured,86420,0,128,cav,1.000000
equal-energy-structured-vs-unstructured,86420,0,128,ed,0.496094
equal-energy-structured-vs-unstructured,86420,0,128,lzmsa-paper,0.457899
equal-energy-structured-vs-unstructured,86420,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.446181
equal-energy-structured-vs-unstructured,97531,-9,64,cav,0.594618
equal-energy-structured-vs-unstructured,97531,-9,64,ed,0.619792
equal-energy-structured-vs-unstructured,97531,-9,64,lzmsa-paper,0.567708
equal-energy-structured-vs-unstructured,97531,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.601562
equal-energy-structured-vs-unstructured,97531,-9,128,cav,0.711372
equal-energy-structured-vs-unstructured,97531,-9,128,ed,0.481771
equal-energy-structured-vs-unstructured,97531,-9,128,lzmsa-paper,0.426215
equal-energy-structured-vs-unstructured,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.562066
equal-energy-structured-vs-unstructured,97531,-3,64,cav,0.950955
equal-energy-structured-vs-unstructured,97531,-3,64,ed,0.427517
equal-energy-structured-vs-unstructured,97531,-3,64,lzmsa-paper,0.580729
equal-energy-structured-vs-unstructured,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.474392
equal-energy-structured-vs-unstructured,97531,-3,128,cav,0.999132
equal-energy-structured-vs-unstructured,97531,-3,128,ed,0.461806
equal-energy-structured-vs-unstructured,97531,-3,128,lzmsa-paper,0.570964
equal-energy-structured-vs-unstructured,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.545139
equal-energy-structured-vs-unstructured,97531,0,64,cav,0.998264
equal-energy-structured-vs-unstructured,97531,0,64,ed,0.345920
equal-energy-structured-vs-unstructured,97531,0,64,lzmsa-paper,0.537326
equal-energy-structured-vs-unstructured,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.461372
equal-energy-structured-vs-unstructured,97531,0,128,cav,1.000000
equal-energy-structured-vs-unstructured,97531,0,128,ed,0.442708
equal-energy-structured-vs-unstructured,97531,0,128,lzmsa-paper,0.435330
equal-energy-structured-vs-unstructured,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.483507
structured-burst-vs-noise-only,24680,-9,64,cav,0.657986
structured-burst-vs-noise-only,24680,-9,64,ed,0.454861
structured-burst-vs-noise-only,24680,-9,64,lzmsa-paper,0.451823
structured-burst-vs-noise-only,24680,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.582465
structured-burst-vs-noise-only,24680,-9,128,cav,0.834635
structured-burst-vs-noise-only,24680,-9,128,ed,0.697483
structured-burst-vs-noise-only,24680,-9,128,lzmsa-paper,0.599826
structured-burst-vs-noise-only,24680,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.385417
structured-burst-vs-noise-only,24680,-3,64,cav,0.640625
structured-burst-vs-noise-only,24680,-3,64,ed,0.629340
structured-burst-vs-noise-only,24680,-3,64,lzmsa-paper,0.490017
structured-burst-vs-noise-only,24680,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.412760
structured-burst-vs-noise-only,24680,-3,128,cav,0.748698
structured-burst-vs-noise-only,24680,-3,128,ed,0.604167
structured-burst-vs-noise-only,24680,-3,128,lzmsa-paper,0.511285
structured-burst-vs-noise-only,24680,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.518229
structured-burst-vs-noise-only,24680,0,64,cav,0.565104
structured-burst-vs-noise-only,24680,0,64,ed,0.553385
