taskFamilyId,seed,snrDb,windowLength,detectorId,auc
engineered-structure-vs-natural-correlation,24680,-9,64,cav,0.383898
engineered-structure-vs-natural-correlation,24680,-9,64,ed,0.307726
engineered-structure-vs-natural-correlation,24680,-9,64,lzmsa-paper,0.439236
engineered-structure-vs-natural-correlation,24680,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.534722
engineered-structure-vs-natural-correlation,24680,-9,128,cav,0.549913
engineered-structure-vs-natural-correlation,24680,-9,128,ed,0.490017
engineered-structure-vs-natural-correlation,24680,-9,128,lzmsa-paper,0.647135
engineered-structure-vs-natural-correlation,24680,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.407118
engineered-structure-vs-natural-correlation,24680,-3,64,cav,0.337240
engineered-structure-vs-natural-correlation,24680,-3,64,ed,0.336806
engineered-structure-vs-natural-correlation,24680,-3,64,lzmsa-paper,0.446181
engineered-structure-vs-natural-correlation,24680,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.511285
engineered-structure-vs-natural-correlation,24680,-3,128,cav,0.233941
engineered-structure-vs-natural-correlation,24680,-3,128,ed,0.236979
engineered-structure-vs-natural-correlation,24680,-3,128,lzmsa-paper,0.421007
engineered-structure-vs-natural-correlation,24680,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.465278
engineered-structure-vs-natural-correlation,24680,0,64,cav,0.194878
engineered-structure-vs-natural-correlation,24680,0,64,ed,0.192708
engineered-structure-vs-natural-correlation,24680,0,64,lzmsa-paper,0.403212
engineered-structure-vs-natural-correlation,24680,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.487413
engineered-structure-vs-natural-correlation,24680,0,128,cav,0.177517
engineered-structure-vs-natural-correlation,24680,0,128,ed,0.182726
engineered-structure-vs-natural-correlation,24680,0,128,lzmsa-paper,0.307292
engineered-structure-vs-natural-correlation,24680,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.518229
engineered-structure-vs-natural-correlation,86420,-9,64,cav,0.302083
engineered-structure-vs-natural-correlation,86420,-9,64,ed,0.330729
engineered-structure-vs-natural-correlation,86420,-9,64,lzmsa-paper,0.600694
engineered-structure-vs-natural-correlation,86420,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.503472
engineered-structure-vs-natural-correlation,86420,-9,128,cav,0.355035
engineered-structure-vs-natural-correlation,86420,-9,128,ed,0.264323
engineered-structure-vs-natural-correlation,86420,-9,128,lzmsa-paper,0.434896
engineered-structure-vs-natural-correlation,86420,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.450521
engineered-structure-vs-natural-correlation,86420,-3,64,cav,0.270399
engineered-structure-vs-natural-correlation,86420,-3,64,ed,0.226563
engineered-structure-vs-natural-correlation,86420,-3,64,lzmsa-paper,0.414931
engineered-structure-vs-natural-correlation,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.567274
engineered-structure-vs-natural-correlation,86420,-3,128,cav,0.292969
engineered-structure-vs-natural-correlation,86420,-3,128,ed,0.319010
engineered-structure-vs-natural-correlation,86420,-3,128,lzmsa-paper,0.456380
engineered-structure-vs-natural-correlation,86420,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.447917
engineered-structure-vs-natural-correlation,86420,0,64,cav,0.222222
engineered-structure-vs-natural-correlation,86420,0,64,ed,0.174479
engineered-structure-vs-natural-correlation,86420,0,64,lzmsa-paper,0.402344
engineered-structure-vs-natural-correlation,86420,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.514757
engineered-structure-vs-natural-correlation,86420,0,128,cav,0.266059
engineered-structure-vs-natural-correlation,86420,0,128,ed,0.270833
engineered-structure-vs-natural-correlation,86420,0,128,lzmsa-paper,0.456597
engineered-structure-vs-natural-correlation,86420,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.490017
engineered-structure-vs-natural-correlation,97531,-9,64,cav,0.279514
engineered-structure-vs-natural-correlation,97531,-9,64,ed,0.229601
engineered-structure-vs-natural-correlation,97531,-9,64,lzmsa-paper,0.450955
engineered-structure-vs-natural-correlation,97531,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.421007
engineered-structure-vs-natural-correlation,97531,-9,128,cav,0.306424
engineered-structure-vs-natural-correlation,97531,-9,128,ed,0.267361
engineered-structure-vs-natural-correlation,97531,-9,128,lzmsa-paper,0.559028
engineered-structure-vs-natural-correlation,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000
engineered-structure-vs-natural-correlation,97531,-3,64,cav,0.299913
engineered-structure-vs-natural-correlation,97531,-3,64,ed,0.260417
engineered-structure-vs-natural-correlation,97531,-3,64,lzmsa-paper,0.389757
engineered-structure-vs-natural-correlation,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.502604
engineered-structure-vs-natural-correlation,97531,-3,128,cav,0.217014
engineered-structure-vs-natural-correlation,97531,-3,128,ed,0.219184
engineered-structure-vs-natural-correlation,97531,-3,128,lzmsa-paper,0.405165
engineered-structure-vs-natural-correlation,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.480035
engineered-structure-vs-natural-correlation,97531,0,64,cav,0.265625
engineered-structure-vs-natural-correlation,97531,0,64,ed,0.253472
engineered-structure-vs-natural-correlation,97531,0,64,lzmsa-paper,0.478082
engineered-structure-vs-natural-correlation,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.447917
engineered-structure-vs-natural-correlation,97531,0,128,cav,0.266493
engineered-structure-vs-natural-correlation,97531,0,128,ed,0.269965
engineered-structure-vs-natural-correlation,97531,0,128,lzmsa-paper,0.363281
engineered-structure-vs-natural-correlation,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.524740
equal-energy-engineered-structure-vs-natural-correlation,24680,-9,64,cav,0.434896
equal-energy-engineered-structure-vs-natural-correlation,24680,-9,64,ed,0.439236
equal-energy-engineered-structure-vs-natural-correlation,24680,-9,64,lzmsa-paper,0.485243
equal-energy-engineered-structure-vs-natural-correlation,24680,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.550347
equal-energy-engineered-structure-vs-natural-correlation,24680,-9,128,cav,0.444661
equal-energy-engineered-structure-vs-natural-correlation,24680,-9,128,ed,0.516059
equal-energy-engineered-structure-vs-natural-correlation,24680,-9,128,lzmsa-paper,0.484809
equal-energy-engineered-structure-vs-natural-correlation,24680,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.507812
equal-energy-engineered-structure-vs-natural-correlation,24680,-3,64,cav,0.557726
equal-energy-engineered-structure-vs-natural-correlation,24680,-3,64,ed,0.516059
equal-energy-engineered-structure-vs-natural-correlation,24680,-3,64,lzmsa-paper,0.544705
equal-energy-engineered-structure-vs-natural-correlation,24680,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.596354
equal-energy-engineered-structure-vs-natural-correlation,24680,-3,128,cav,0.347656
equal-energy-engineered-structure-vs-natural-correlation,24680,-3,128,ed,0.509115
equal-energy-engineered-structure-vs-natural-correlation,24680,-3,128,lzmsa-paper,0.516059
equal-energy-engineered-structure-vs-natural-correlation,24680,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.385851
equal-energy-engineered-structure-vs-natural-correlation,24680,0,64,cav,0.620226
equal-energy-engineered-structure-vs-natural-correlation,24680,0,64,ed,0.674045
equal-energy-engineered-structure-vs-natural-correlation,24680,0,64,lzmsa-paper,0.590278
equal-energy-engineered-structure-vs-natural-correlation,24680,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.513889
equal-energy-engineered-structure-vs-natural-correlation,24680,0,128,cav,0.228733
equal-energy-engineered-structure-vs-natural-correlation,24680,0,128,ed,0.492188
equal-energy-engineered-structure-vs-natural-correlation,24680,0,128,lzmsa-paper,0.446181
equal-energy-engineered-structure-vs-natural-correlation,24680,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.451823
equal-energy-engineered-structure-vs-natural-correlation,86420,-9,64,cav,0.397569
equal-energy-engineered-structure-vs-natural-correlation,86420,-9,64,ed,0.651910
equal-energy-engineered-structure-vs-natural-correlation,86420,-9,64,lzmsa-paper,0.639757
equal-energy-engineered-structure-vs-natural-correlation,86420,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.647569
equal-energy-engineered-structure-vs-natural-correlation,86420,-9,128,cav,0.327257
equal-energy-engineered-structure-vs-natural-correlation,86420,-9,128,ed,0.381510
equal-energy-engineered-structure-vs-natural-correlation,86420,-9,128,lzmsa-paper,0.588108
equal-energy-engineered-structure-vs-natural-correlation,86420,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.585503
equal-energy-engineered-structure-vs-natural-correlation,86420,-3,64,cav,0.476780
equal-energy-engineered-structure-vs-natural-correlation,86420,-3,64,ed,0.578125
equal-energy-engineered-structure-vs-natural-correlation,86420,-3,64,lzmsa-paper,0.401476
equal-energy-engineered-structure-vs-natural-correlation,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.512587
equal-energy-engineered-structure-vs-natural-correlation,86420,-3,128,cav,0.456597
equal-energy-engineered-structure-vs-natural-correlation,86420,-3,128,ed,0.382378
